workerid,proliferate.condition,comprehension_check,expCondition,item_0,item_0_categorization_0,item_0_categorization_1,item_0_categorization_2,item_0_categorization_3,item_0_property_0,item_0_property_1,item_0_property_2,item_0_property_3,item_1,item_1_categorization_0,item_1_categorization_1,item_1_categorization_2,item_1_categorization_3,item_1_property_0,item_1_property_1,item_1_property_2,item_1_property_3,response_behavioral,response_biological,response_purpose,response_social,error
2769,condition 2,1,non_generic,Vulpan,purpose,biological,behavioral,social,enables decomposition,is warm blooded,jumps,shares food with group members,Xan,purpose,behavioral,biological,social,aerates soil,runs,has pointy ears,pair bonds,3,4,2,4,
2769,condition 2,1,non_generic,Jig,biological,social,purpose,behavioral,has long legs,follows the dominant group member,makes honey,chews,Zerp,biological,social,purpose,behavioral,has hair,cooperates with group members,purifies water,swims,4,4,4,3,
2853,condition 2,1,non_generic,Xan,behavioral,biological,purpose,social,runs,has pointy ears,aerates soil,pair bonds,Vulpan,purpose,social,behavioral,biological,enables decomposition,shares food with group members,jumps,is warm blooded,0,4,1,0,
2853,condition 2,1,non_generic,Zerp,behavioral,social,purpose,biological,swims,cooperates with group members,purifies water,has hair,Jig,purpose,social,biological,behavioral,makes honey,follows the dominant group member,has long legs,chews,0,0,5,0,
2832,condition 2,0,non_generic,Vulpan,social,behavioral,purpose,biological,shares food with group members,jumps,enables decomposition,is warm blooded,Zerp,social,purpose,behavioral,biological,cooperates with group members,purifies water,swims,has hair,3,1,1,1,
2832,condition 2,0,non_generic,Xan,biological,behavioral,social,purpose,has pointy ears,runs,pair bonds,aerates soil,Jig,behavioral,purpose,social,biological,chews,makes honey,follows the dominant group member,has long legs,3,6,3,1,
2827,condition 2,1,non_generic,Zerp,behavioral,biological,purpose,social,cooperates with group members,swims,purifies water,has hair,Vulpan,behavioral,biological,social,purpose,jumps,is warm blooded,shares food with group members,enables decomposition,1,3,4,4,
2827,condition 2,1,non_generic,Xan,purpose,behavioral,social,biological,aerates soil,runs,has pointy ears,pair bonds,Jig,social,biological,purpose,behavioral,follows the dominant group member,has long legs,makes honey,chews,4,6,5,5,
2849,condition 2,1,non_generic,Zerp,purpose,biological,behavioral,social,purifies water,has hair,swims,cooperates with group members,Vulpan,purpose,biological,behavioral,social,enables decomposition,is warm blooded,jumps,shares food with group members,1,1,1,1,
2849,condition 2,1,non_generic,Xan,social,behavioral,biological,purpose,pair bonds,runs,has pointy ears,aerates soil,Jig,biological,purpose,behavioral,social,has long legs,makes honey,chews,follows the dominant group member,1,3,1,1,
2761,condition 2,1,non_generic,Jig,biological,purpose,behavioral,social,has long legs,makes honey,chews,follows the dominant group member,Vulpan,purpose,biological,behavioral,social,enables decomposition,is warm blooded,jumps,shares food with group members,0,1,5,0,
2761,condition 2,1,non_generic,Zerp,social,biological,behavioral,purpose,cooperates with group members,has hair,swims,purifies water,Xan,purpose,biological,behavioral,social,aerates soil,has pointy ears,runs,pair bonds,1,1,5,0,
2797,condition 2,1,non_generic,Xan,behavioral,social,biological,purpose,runs,pair bonds,has pointy ears,aerates soil,Vulpan,behavioral,biological,social,purpose,jumps,is warm blooded,shares food with group members,enables decomposition,1,4,1,1,
2797,condition 2,1,non_generic,Jig,purpose,behavioral,social,biological,makes honey,chews,follows the dominant group member,has long legs,Zerp,social,biological,purpose,behavioral,cooperates with group members,has hair,purifies water,swims,1,3,2,1,
2819,condition 2,1,non_generic,Vulpan,purpose,behavioral,social,biological,enables decomposition,jumps,shares food with group members,is warm blooded,Zerp,purpose,biological,behavioral,social,purifies water,has hair,swims,cooperates with group members,1,1,2,0,
2819,condition 2,1,non_generic,Xan,biological,social,purpose,behavioral,has pointy ears,pair bonds,aerates soil,runs,Jig,purpose,behavioral,social,biological,makes honey,chews,follows the dominant group member,has long legs,1,1,2,0,
2817,condition 2,1,non_generic,Zerp,behavioral,purpose,social,biological,swims,purifies water,cooperates with group members,has hair,Vulpan,purpose,social,behavioral,biological,enables decomposition,shares food with group members,jumps,is warm blooded,0,1,0,0,
2817,condition 2,1,non_generic,Xan,biological,social,behavioral,purpose,has pointy ears,pair bonds,runs,aerates soil,Jig,biological,purpose,behavioral,social,has long legs,makes honey,chews,follows the dominant group member,0,0,6,0,
2755,condition 2,1,non_generic,Xan,biological,purpose,behavioral,social,pair bonds,aerates soil,runs,has pointy ears,Vulpan,purpose,social,biological,behavioral,enables decomposition,shares food with group members,is warm blooded,jumps,0,6,6,3,
2755,condition 2,1,non_generic,Jig,biological,behavioral,social,purpose,has long legs,chews,follows the dominant group member,makes honey,Zerp,social,purpose,behavioral,biological,cooperates with group members,purifies water,swims,has hair,3,1,6,2,
2847,condition 2,1,non_generic,Xan,social,purpose,biological,behavioral,pair bonds,aerates soil,has pointy ears,runs,Vulpan,purpose,behavioral,social,biological,enables decomposition,jumps,shares food with group members,is warm blooded,1,1,4,2,
2847,condition 2,1,non_generic,Zerp,purpose,biological,social,behavioral,purifies water,has hair,cooperates with group members,swims,Jig,social,biological,purpose,behavioral,follows the dominant group member,has long legs,makes honey,chews,2,4,4,1,
2811,condition 2,1,non_generic,Jig,biological,purpose,behavioral,social,has long legs,makes honey,chews,follows the dominant group member,Vulpan,behavioral,biological,purpose,social,jumps,is warm blooded,enables decomposition,shares food with group members,2,3,1,1,
2811,condition 2,1,non_generic,Zerp,biological,behavioral,purpose,social,has hair,swims,purifies water,cooperates with group members,Xan,biological,purpose,social,behavioral,has pointy ears,aerates soil,pair bonds,runs,4,4,1,2,
2782,condition 2,1,non_generic,Vulpan,biological,purpose,behavioral,social,is warm blooded,enables decomposition,jumps,shares food with group members,Jig,social,behavioral,biological,purpose,follows the dominant group member,chews,has long legs,makes honey,2,3,4,2,
2782,condition 2,1,non_generic,Xan,social,biological,behavioral,purpose,pair bonds,has pointy ears,runs,aerates soil,Zerp,biological,social,behavioral,purpose,has hair,cooperates with group members,swims,purifies water,2,3,4,2,
2834,condition 2,1,non_generic,Vulpan,social,purpose,biological,behavioral,shares food with group members,enables decomposition,is warm blooded,jumps,Zerp,biological,social,behavioral,purpose,has hair,cooperates with group members,swims,purifies water,0,0,1,0,
2834,condition 2,1,non_generic,Jig,social,biological,purpose,behavioral,follows the dominant group member,has long legs,makes honey,chews,Xan,behavioral,social,biological,purpose,runs,pair bonds,has pointy ears,aerates soil,1,1,5,1,
2775,condition 2,1,non_generic,Jig,biological,social,behavioral,purpose,has long legs,follows the dominant group member,chews,makes honey,Vulpan,purpose,biological,behavioral,social,enables decomposition,is warm blooded,jumps,shares food with group members,2,1,5,5,
2775,condition 2,1,non_generic,Zerp,biological,behavioral,social,purpose,has hair,swims,cooperates with group members,purifies water,Xan,purpose,behavioral,social,biological,aerates soil,pair bonds,runs,has pointy ears,5,4,2,5,
2773,condition 2,1,non_generic,Xan,social,biological,purpose,behavioral,pair bonds,has pointy ears,aerates soil,runs,Vulpan,social,biological,purpose,behavioral,shares food with group members,is warm blooded,enables decomposition,jumps,1,4,4,1,
2773,condition 2,1,non_generic,Jig,biological,social,purpose,behavioral,has long legs,follows the dominant group member,makes honey,chews,Zerp,behavioral,biological,purpose,social,swims,has hair,purifies water,cooperates with group members,3,2,5,1,
2765,condition 2,1,non_generic,Vulpan,biological,behavioral,purpose,social,is warm blooded,enables decomposition,jumps,shares food with group members,Jig,purpose,behavioral,social,biological,makes honey,chews,follows the dominant group member,has long legs,0,2,1,3,
2765,condition 2,1,non_generic,Zerp,social,biological,behavioral,purpose,cooperates with group members,has hair,swims,purifies water,Xan,behavioral,purpose,biological,social,runs,aerates soil,has pointy ears,pair bonds,2,4,4,2,
2747,condition 2,1,non_generic,Xan,behavioral,biological,social,purpose,runs,has pointy ears,pair bonds,aerates soil,Vulpan,biological,social,behavioral,purpose,is warm blooded,shares food with group members,jumps,enables decomposition,1,4,3,2,
2747,condition 2,1,non_generic,Zerp,biological,social,behavioral,purpose,has hair,cooperates with group members,swims,purifies water,Jig,social,purpose,biological,behavioral,follows the dominant group member,makes honey,has long legs,chews,1,4,3,2,
2836,condition 2,1,non_generic,Xan,biological,social,behavioral,purpose,has pointy ears,pair bonds,runs,aerates soil,Vulpan,biological,purpose,social,behavioral,is warm blooded,enables decomposition,shares food with group members,jumps,1,1,1,1,
2836,condition 2,1,non_generic,Jig,behavioral,social,purpose,biological,chews,follows the dominant group member,makes honey,has long legs,Zerp,purpose,social,biological,behavioral,purifies water,cooperates with group members,has hair,swims,1,1,1,1,
2808,condition 2,1,non_generic,Vulpan,social,behavioral,biological,purpose,shares food with group members,jumps,is warm blooded,enables decomposition,Zerp,purpose,biological,behavioral,social,purifies water,has hair,swims,cooperates with group members,5,2,4,1,
2808,condition 2,1,non_generic,Xan,behavioral,biological,purpose,social,runs,has pointy ears,aerates soil,pair bonds,Jig,behavioral,social,biological,purpose,chews,follows the dominant group member,has long legs,makes honey,1,4,5,2,
2751,condition 2,0,non_generic,Zerp,behavioral,social,biological,purpose,swims,cooperates with group members,has hair,purifies water,Vulpan,biological,purpose,behavioral,social,is warm blooded,enables decomposition,jumps,shares food with group members,1,2,1,6,
2751,condition 2,0,non_generic,Jig,behavioral,biological,purpose,social,chews,has long legs,makes honey,follows the dominant group member,Xan,purpose,biological,behavioral,social,aerates soil,has pointy ears,runs,pair bonds,4,0,5,1,
2749,condition 2,1,non_generic,Vulpan,biological,purpose,behavioral,social,is warm blooded,enables decomposition,jumps,shares food with group members,Zerp,behavioral,purpose,social,biological,swims,purifies water,cooperates with group members,has hair,2,2,2,2,
2749,condition 2,1,non_generic,Jig,purpose,biological,social,behavioral,makes honey,has long legs,follows the dominant group member,chews,Xan,biological,social,behavioral,purpose,has pointy ears,pair bonds,runs,aerates soil,2,2,2,2,
2841,condition 2,1,non_generic,Jig,behavioral,biological,purpose,social,chews,has long legs,makes honey,follows the dominant group member,Vulpan,behavioral,social,biological,purpose,enables decomposition,shares food with group members,is warm blooded,jumps,1,1,1,1,
2841,condition 2,1,non_generic,Zerp,behavioral,social,biological,purpose,swims,cooperates with group members,has hair,purifies water,Xan,biological,purpose,behavioral,social,has pointy ears,aerates soil,runs,pair bonds,0,1,0,0,
2804,condition 2,1,non_generic,Vulpan,social,biological,purpose,behavioral,jumps,is warm blooded,enables decomposition,shares food with group members,Xan,biological,purpose,behavioral,social,has pointy ears,aerates soil,runs,pair bonds,4,6,4,5,
2804,condition 2,1,non_generic,Jig,biological,purpose,behavioral,social,has long legs,makes honey,chews,follows the dominant group member,Zerp,behavioral,biological,social,purpose,swims,has hair,cooperates with group members,purifies water,4,4,4,4,
2802,condition 2,1,non_generic,Xan,social,behavioral,biological,purpose,runs,pair bonds,has pointy ears,aerates soil,Vulpan,behavioral,social,biological,purpose,shares food with group members,jumps,is warm blooded,enables decomposition,1,0,3,1,
2802,condition 2,1,non_generic,Zerp,behavioral,purpose,biological,social,swims,purifies water,has hair,cooperates with group members,Jig,behavioral,biological,social,purpose,chews,has long legs,follows the dominant group member,makes honey,2,2,2,1,
2780,condition 2,1,non_generic,Vulpan,behavioral,social,purpose,biological,jumps,shares food with group members,enables decomposition,is warm blooded,Zerp,social,purpose,behavioral,biological,cooperates with group members,purifies water,swims,has hair,4,0,5,1,
2780,condition 2,1,non_generic,Jig,social,purpose,biological,behavioral,follows the dominant group member,makes honey,has long legs,chews,Xan,social,behavioral,purpose,biological,pair bonds,runs,aerates soil,has pointy ears,1,0,4,1,
2757,condition 2,0,non_generic,Jig,social,behavioral,purpose,biological,follows the dominant group member,chews,makes honey,has long legs,Vulpan,biological,behavioral,social,purpose,is warm blooded,jumps,shares food with group members,enables decomposition,1,3,3,1,
2757,condition 2,0,non_generic,Zerp,biological,behavioral,purpose,social,has hair,swims,purifies water,cooperates with group members,Xan,biological,behavioral,purpose,social,has pointy ears,aerates soil,pair bonds,runs,3,2,3,1,
2793,condition 2,1,non_generic,Vulpan,behavioral,purpose,biological,social,jumps,enables decomposition,is warm blooded,shares food with group members,Xan,social,behavioral,purpose,biological,pair bonds,runs,aerates soil,has pointy ears,2,4,1,1,
2793,condition 2,1,non_generic,Jig,behavioral,social,purpose,biological,chews,follows the dominant group member,makes honey,has long legs,Zerp,biological,purpose,behavioral,social,has hair,purifies water,swims,cooperates with group members,2,4,4,0,
2795,condition 2,1,non_generic,Jig,purpose,social,behavioral,biological,makes honey,follows the dominant group member,chews,has long legs,Vulpan,biological,purpose,behavioral,social,is warm blooded,enables decomposition,jumps,shares food with group members,2,3,3,2,
2795,condition 2,1,non_generic,Xan,social,purpose,biological,behavioral,pair bonds,aerates soil,has pointy ears,runs,Zerp,biological,social,behavioral,purpose,has hair,cooperates with group members,swims,purifies water,2,2,3,1,
2830,condition 2,0,non_generic,Vulpan,behavioral,biological,social,purpose,jumps,is warm blooded,shares food with group members,enables decomposition,Jig,purpose,behavioral,biological,social,makes honey,chews,has long legs,follows the dominant group member,3,6,5,4,
2830,condition 2,0,non_generic,Xan,purpose,social,behavioral,biological,aerates soil,pair bonds,runs,has pointy ears,Zerp,purpose,social,behavioral,biological,purifies water,cooperates with group members,swims,has hair,4,5,2,5,
2845,condition 2,1,non_generic,Vulpan,purpose,social,biological,behavioral,enables decomposition,shares food with group members,is warm blooded,jumps,Zerp,social,biological,purpose,behavioral,cooperates with group members,has hair,purifies water,swims,1,1,1,1,
2845,condition 2,1,non_generic,Jig,purpose,social,biological,behavioral,makes honey,follows the dominant group member,has long legs,chews,Xan,purpose,social,behavioral,biological,aerates soil,pair bonds,runs,has pointy ears,1,1,1,1,
2840,condition 2,1,non_generic,Xan,purpose,biological,behavioral,social,aerates soil,has pointy ears,pair bonds,runs,Vulpan,social,biological,behavioral,purpose,shares food with group members,is warm blooded,jumps,enables decomposition,0,1,3,1,
2840,condition 2,1,non_generic,Jig,behavioral,purpose,biological,social,chews,makes honey,has long legs,follows the dominant group member,Zerp,social,behavioral,purpose,biological,cooperates with group members,swims,purifies water,has hair,1,1,3,1,
2787,condition 2,1,non_generic,Vulpan,social,behavioral,biological,purpose,shares food with group members,jumps,is warm blooded,enables decomposition,Xan,purpose,biological,behavioral,social,pair bonds,has pointy ears,runs,aerates soil,1,1,5,2,
2787,condition 2,1,non_generic,Jig,biological,behavioral,purpose,social,has long legs,chews,makes honey,follows the dominant group member,Zerp,purpose,social,biological,behavioral,purifies water,cooperates with group members,has hair,swims,1,1,5,1,
2759,condition 2,1,non_generic,Vulpan,purpose,biological,social,behavioral,enables decomposition,is warm blooded,shares food with group members,jumps,Xan,purpose,social,biological,behavioral,pair bonds,runs,has pointy ears,aerates soil,4,3,3,3,
2759,condition 2,1,non_generic,Zerp,biological,behavioral,purpose,social,has hair,swims,purifies water,cooperates with group members,Jig,behavioral,purpose,biological,social,chews,makes honey,has long legs,follows the dominant group member,5,5,4,3,
