workerid,proliferate.condition,comprehension_check,expCondition,item_0,item_0_categorization_0,item_0_categorization_1,item_0_categorization_2,item_0_categorization_3,item_0_property_0,item_0_property_1,item_0_property_2,item_0_property_3,item_1,item_1_categorization_0,item_1_categorization_1,item_1_categorization_2,item_1_categorization_3,item_1_property_0,item_1_property_1,item_1_property_2,item_1_property_3,offspring_behavioral,offspring_biological,offspring_purpose,offspring_social,error
4222,condition 2,1,non_generic,Zerp,social,behavioral,purpose,biological,cooperates with group members,swims,purifies water,has hair,Vulpan,social,biological,behavioral,purpose,shares food with group members,is warm blooded,jumps,enables decomposition,1,1,1,1,
4222,condition 2,1,non_generic,Jig,purpose,biological,social,behavioral,makes honey,has long legs,follows the dominant group member,chews,Xan,social,behavioral,biological,purpose,pair bonds,runs,has pointy ears,aerates soil,1,1,1,1,
4156,condition 2,1,non_generic,Jig,biological,behavioral,social,purpose,has long legs,makes honey,follows the dominant group member,chews,Vulpan,biological,purpose,behavioral,social,is warm blooded,jumps,enables decomposition,shares food with group members,2,1,1,1,
4156,condition 2,1,non_generic,Xan,social,behavioral,purpose,biological,pair bonds,runs,aerates soil,has pointy ears,Zerp,behavioral,purpose,social,biological,swims,purifies water,cooperates with group members,has hair,1,1,1,1,
4164,condition 2,1,non_generic,Jig,behavioral,purpose,social,biological,follows the dominant group member,makes honey,chews,has long legs,Vulpan,biological,behavioral,purpose,social,is warm blooded,enables decomposition,jumps,shares food with group members,1,1,1,1,
4164,condition 2,1,non_generic,Zerp,behavioral,purpose,social,biological,swims,purifies water,cooperates with group members,has hair,Xan,social,biological,purpose,behavioral,runs,has pointy ears,aerates soil,pair bonds,1,1,1,1,
4180,condition 2,1,non_generic,Vulpan,purpose,biological,social,behavioral,enables decomposition,is warm blooded,shares food with group members,jumps,Jig,purpose,biological,social,behavioral,makes honey,has long legs,follows the dominant group member,chews,1,2,3,2,
4180,condition 2,1,non_generic,Zerp,purpose,behavioral,social,biological,purifies water,swims,cooperates with group members,has hair,Xan,social,behavioral,biological,purpose,pair bonds,runs,has pointy ears,aerates soil,1,2,4,1,
4186,condition 2,1,non_generic,Vulpan,purpose,biological,behavioral,social,enables decomposition,is warm blooded,jumps,shares food with group members,Zerp,social,purpose,behavioral,biological,cooperates with group members,purifies water,swims,has hair,0,0,1,0,
4186,condition 2,1,non_generic,Jig,purpose,behavioral,biological,social,makes honey,chews,has long legs,follows the dominant group member,Xan,behavioral,purpose,social,biological,runs,aerates soil,pair bonds,has pointy ears,0,0,1,1,
4147,condition 2,1,non_generic,Jig,behavioral,purpose,social,biological,chews,makes honey,follows the dominant group member,has long legs,Vulpan,purpose,social,behavioral,biological,enables decomposition,shares food with group members,jumps,is warm blooded,2,6,5,1,
4147,condition 2,1,non_generic,Xan,behavioral,purpose,social,biological,runs,aerates soil,pair bonds,has pointy ears,Zerp,biological,purpose,social,behavioral,has hair,purifies water,cooperates with group members,swims,5,4,5,6,
4231,condition 2,1,non_generic,Xan,behavioral,purpose,biological,social,aerates soil,runs,has pointy ears,pair bonds,Vulpan,behavioral,purpose,biological,social,jumps,enables decomposition,is warm blooded,shares food with group members,1,4,1,3,
4231,condition 2,1,non_generic,Zerp,social,biological,purpose,behavioral,cooperates with group members,has hair,purifies water,swims,Jig,social,biological,purpose,behavioral,follows the dominant group member,has long legs,chews,makes honey,1,1,1,1,
4192,condition 2,1,non_generic,Xan,purpose,biological,behavioral,social,aerates soil,has pointy ears,runs,pair bonds,Vulpan,social,behavioral,purpose,biological,shares food with group members,jumps,enables decomposition,is warm blooded,2,2,1,1,
4192,condition 2,1,non_generic,Jig,social,purpose,biological,behavioral,follows the dominant group member,makes honey,has long legs,chews,Zerp,social,behavioral,biological,purpose,cooperates with group members,swims,has hair,purifies water,1,1,2,1,
4234,condition 2,1,non_generic,Xan,purpose,behavioral,biological,social,aerates soil,runs,has pointy ears,pair bonds,Vulpan,biological,purpose,social,behavioral,is warm blooded,enables decomposition,shares food with group members,jumps,1,4,4,0,
4234,condition 2,1,non_generic,Zerp,purpose,behavioral,social,biological,purifies water,swims,cooperates with group members,has hair,Jig,purpose,biological,social,behavioral,makes honey,has long legs,follows the dominant group member,chews,1,1,4,0,
4228,condition 2,1,non_generic,Vulpan,biological,behavioral,purpose,social,is warm blooded,jumps,enables decomposition,shares food with group members,Jig,social,purpose,biological,behavioral,follows the dominant group member,makes honey,has long legs,chews,1,0,2,0,
4228,condition 2,1,non_generic,Xan,purpose,social,behavioral,biological,aerates soil,pair bonds,runs,has pointy ears,Zerp,purpose,biological,social,behavioral,purifies water,has hair,cooperates with group members,swims,1,1,2,0,
4166,condition 2,1,non_generic,Zerp,social,purpose,behavioral,biological,cooperates with group members,purifies water,swims,has hair,Vulpan,purpose,behavioral,biological,social,enables decomposition,jumps,is warm blooded,shares food with group members,3,5,3,3,
4166,condition 2,1,non_generic,Jig,behavioral,purpose,social,biological,chews,makes honey,follows the dominant group member,has long legs,Xan,purpose,social,biological,behavioral,aerates soil,pair bonds,has pointy ears,runs,3,5,5,3,
4162,condition 2,1,non_generic,Vulpan,behavioral,social,biological,purpose,jumps,shares food with group members,is warm blooded,enables decomposition,Zerp,biological,behavioral,purpose,social,has hair,swims,purifies water,cooperates with group members,2,1,2,1,
4162,condition 2,1,non_generic,Jig,behavioral,social,purpose,biological,chews,follows the dominant group member,makes honey,has long legs,Xan,purpose,social,biological,behavioral,aerates soil,pair bonds,has pointy ears,runs,1,0,1,1,
4208,condition 2,1,non_generic,Xan,behavioral,purpose,biological,social,runs,aerates soil,has pointy ears,pair bonds,Vulpan,biological,purpose,behavioral,social,is warm blooded,enables decomposition,jumps,shares food with group members,0,1,2,3,
4208,condition 2,1,non_generic,Zerp,behavioral,social,purpose,biological,swims,cooperates with group members,purifies water,has hair,Jig,purpose,biological,behavioral,social,makes honey,has long legs,chews,follows the dominant group member,1,1,2,1,
4226,condition 2,1,non_generic,Xan,social,purpose,biological,behavioral,pair bonds,aerates soil,has pointy ears,runs,Vulpan,purpose,social,behavioral,biological,enables decomposition,shares food with group members,jumps,is warm blooded,1,1,1,1,
4226,condition 2,1,non_generic,Jig,social,purpose,biological,behavioral,follows the dominant group member,makes honey,has long legs,chews,Zerp,social,purpose,biological,behavioral,cooperates with group members,purifies water,has hair,swims,1,1,1,1,
4134,condition 2,1,non_generic,Vulpan,biological,behavioral,purpose,social,is warm blooded,jumps,enables decomposition,shares food with group members,Zerp,behavioral,biological,social,purpose,swims,has hair,cooperates with group members,purifies water,4,1,4,0,
4134,condition 2,1,non_generic,Jig,purpose,behavioral,social,biological,makes honey,chews,follows the dominant group member,has long legs,Xan,social,behavioral,biological,purpose,pair bonds,runs,has pointy ears,aerates soil,0,1,1,1,
4144,condition 2,1,non_generic,Vulpan,purpose,behavioral,social,biological,jumps,enables decomposition,shares food with group members,is warm blooded,Jig,social,biological,purpose,behavioral,follows the dominant group member,has long legs,makes honey,chews,2,4,2,2,
4144,condition 2,1,non_generic,Zerp,social,purpose,behavioral,biological,cooperates with group members,purifies water,swims,has hair,Xan,behavioral,biological,social,purpose,runs,has pointy ears,pair bonds,aerates soil,2,4,2,2,
4158,condition 2,1,non_generic,Zerp,biological,behavioral,purpose,social,has hair,swims,purifies water,cooperates with group members,Vulpan,social,biological,purpose,behavioral,shares food with group members,is warm blooded,enables decomposition,jumps,1,1,1,1,
4158,condition 2,1,non_generic,Jig,biological,purpose,social,behavioral,has long legs,makes honey,follows the dominant group member,chews,Xan,purpose,social,behavioral,biological,aerates soil,pair bonds,runs,has pointy ears,4,1,4,1,
4182,condition 2,1,non_generic,Vulpan,social,biological,purpose,behavioral,shares food with group members,is warm blooded,enables decomposition,jumps,Jig,purpose,social,biological,behavioral,makes honey,follows the dominant group member,has long legs,chews,2,3,3,2,
4182,condition 2,1,non_generic,Zerp,purpose,social,biological,behavioral,purifies water,cooperates with group members,has hair,swims,Xan,purpose,behavioral,biological,social,aerates soil,runs,has pointy ears,pair bonds,2,3,3,2,
4233,condition 2,1,non_generic,Vulpan,social,biological,purpose,behavioral,shares food with group members,is warm blooded,enables decomposition,jumps,Zerp,purpose,behavioral,social,biological,purifies water,swims,cooperates with group members,has hair,0,0,0,2,
4233,condition 2,1,non_generic,Xan,behavioral,purpose,biological,social,runs,aerates soil,has pointy ears,pair bonds,Jig,purpose,social,behavioral,biological,makes honey,follows the dominant group member,chews,has long legs,0,0,0,0,
4216,condition 2,1,non_generic,Jig,biological,social,purpose,behavioral,has long legs,follows the dominant group member,makes honey,chews,Vulpan,social,purpose,behavioral,biological,shares food with group members,enables decomposition,jumps,is warm blooded,1,4,2,1,
4216,condition 2,1,non_generic,Zerp,behavioral,purpose,social,biological,swims,purifies water,cooperates with group members,has hair,Xan,behavioral,social,purpose,biological,runs,pair bonds,aerates soil,has pointy ears,3,2,2,2,
4210,condition 2,1,non_generic,Vulpan,purpose,biological,social,behavioral,enables decomposition,jumps,shares food with group members,is warm blooded,Zerp,social,biological,behavioral,purpose,cooperates with group members,has hair,swims,purifies water,2,1,1,2,
4210,condition 2,1,non_generic,Xan,purpose,social,behavioral,biological,aerates soil,pair bonds,runs,has pointy ears,Jig,social,biological,behavioral,purpose,follows the dominant group member,has long legs,chews,makes honey,1,1,1,3,
4218,condition 2,1,non_generic,Vulpan,behavioral,purpose,social,biological,jumps,enables decomposition,shares food with group members,is warm blooded,Jig,social,behavioral,purpose,biological,follows the dominant group member,chews,has long legs,makes honey,2,4,1,1,
4218,condition 2,1,non_generic,Xan,purpose,biological,social,behavioral,aerates soil,has pointy ears,pair bonds,runs,Zerp,biological,behavioral,purpose,social,has hair,swims,purifies water,cooperates with group members,2,1,4,4,
4224,condition 2,1,non_generic,Vulpan,social,biological,behavioral,purpose,shares food with group members,enables decomposition,is warm blooded,jumps,Xan,social,biological,purpose,behavioral,pair bonds,has pointy ears,runs,aerates soil,1,4,1,1,
4224,condition 2,1,non_generic,Jig,biological,behavioral,purpose,social,has long legs,follows the dominant group member,chews,makes honey,Zerp,biological,social,behavioral,purpose,has hair,cooperates with group members,purifies water,swims,1,3,1,1,
4214,condition 2,1,non_generic,Xan,purpose,behavioral,social,biological,aerates soil,runs,pair bonds,has pointy ears,Vulpan,purpose,biological,behavioral,social,enables decomposition,is warm blooded,jumps,shares food with group members,0,0,0,1,
4214,condition 2,1,non_generic,Zerp,behavioral,purpose,social,biological,swims,purifies water,cooperates with group members,has hair,Jig,social,behavioral,purpose,biological,follows the dominant group member,chews,makes honey,has long legs,0,2,2,2,
4140,condition 2,1,non_generic,Xan,purpose,behavioral,social,biological,aerates soil,runs,pair bonds,has pointy ears,Vulpan,biological,purpose,behavioral,social,is warm blooded,enables decomposition,jumps,shares food with group members,1,1,4,2,
4140,condition 2,1,non_generic,Zerp,social,biological,purpose,behavioral,cooperates with group members,has hair,purifies water,swims,Jig,social,behavioral,biological,purpose,follows the dominant group member,chews,has long legs,makes honey,1,1,4,1,
4154,condition 2,1,non_generic,Vulpan,purpose,biological,social,behavioral,enables decomposition,is warm blooded,shares food with group members,jumps,Zerp,biological,behavioral,social,purpose,has hair,swims,cooperates with group members,purifies water,2,1,1,0,
4154,condition 2,1,non_generic,Jig,social,behavioral,biological,purpose,follows the dominant group member,chews,has long legs,makes honey,Xan,social,behavioral,biological,purpose,pair bonds,runs,has pointy ears,aerates soil,2,2,3,3,
4200,condition 2,1,non_generic,Vulpan,social,purpose,biological,behavioral,shares food with group members,enables decomposition,is warm blooded,jumps,Xan,social,purpose,biological,behavioral,pair bonds,aerates soil,has pointy ears,runs,1,1,1,1,
4200,condition 2,1,non_generic,Jig,biological,behavioral,purpose,social,has long legs,chews,makes honey,follows the dominant group member,Zerp,behavioral,social,biological,purpose,swims,cooperates with group members,has hair,purifies water,1,1,1,1,
4130,condition 2,1,non_generic,Vulpan,behavioral,biological,social,purpose,jumps,is warm blooded,shares food with group members,enables decomposition,Xan,purpose,behavioral,biological,social,aerates soil,runs,has pointy ears,pair bonds,4,0,1,2,
4130,condition 2,1,non_generic,Jig,social,behavioral,biological,purpose,chews,follows the dominant group member,has long legs,makes honey,Zerp,social,biological,behavioral,purpose,cooperates with group members,has hair,swims,purifies water,2,1,1,1,
4152,condition 2,1,non_generic,Vulpan,behavioral,social,purpose,biological,jumps,shares food with group members,enables decomposition,is warm blooded,Xan,social,behavioral,purpose,biological,pair bonds,runs,aerates soil,has pointy ears,0,3,0,0,
4152,condition 2,1,non_generic,Zerp,biological,social,behavioral,purpose,has hair,cooperates with group members,swims,purifies water,Jig,social,purpose,behavioral,biological,follows the dominant group member,makes honey,chews,has long legs,0,3,0,0,
4194,condition 2,1,non_generic,Vulpan,purpose,biological,social,behavioral,enables decomposition,is warm blooded,shares food with group members,jumps,Zerp,social,behavioral,biological,purpose,cooperates with group members,swims,has hair,purifies water,2,4,2,3,
4194,condition 2,1,non_generic,Xan,biological,purpose,behavioral,social,has pointy ears,aerates soil,runs,pair bonds,Jig,purpose,biological,social,behavioral,makes honey,has long legs,follows the dominant group member,chews,4,3,4,4,
4150,condition 2,1,non_generic,Vulpan,behavioral,social,biological,purpose,jumps,shares food with group members,is warm blooded,enables decomposition,Xan,behavioral,biological,purpose,social,runs,has pointy ears,aerates soil,pair bonds,1,1,1,2,
4150,condition 2,1,non_generic,Jig,purpose,biological,behavioral,social,makes honey,has long legs,chews,follows the dominant group member,Zerp,biological,social,purpose,behavioral,has hair,cooperates with group members,purifies water,swims,3,1,4,3,
4196,condition 2,1,non_generic,Vulpan,social,behavioral,biological,purpose,enables decomposition,jumps,is warm blooded,shares food with group members,Jig,purpose,social,biological,behavioral,has long legs,makes honey,follows the dominant group member,chews,2,2,5,1,
4196,condition 2,1,non_generic,Zerp,biological,behavioral,purpose,social,has hair,swims,purifies water,cooperates with group members,Xan,behavioral,purpose,social,biological,pair bonds,runs,aerates soil,has pointy ears,5,4,4,5,
4190,condition 2,1,non_generic,Zerp,biological,social,behavioral,purpose,has hair,cooperates with group members,swims,purifies water,Vulpan,behavioral,purpose,social,biological,jumps,enables decomposition,shares food with group members,is warm blooded,3,3,3,3,
4190,condition 2,1,non_generic,Xan,purpose,social,behavioral,biological,aerates soil,pair bonds,runs,has pointy ears,Jig,biological,behavioral,social,purpose,has long legs,chews,follows the dominant group member,makes honey,3,3,3,3,
4132,condition 2,1,non_generic,Vulpan,social,purpose,behavioral,biological,shares food with group members,enables decomposition,jumps,is warm blooded,Jig,biological,social,purpose,behavioral,has long legs,follows the dominant group member,makes honey,chews,1,1,2,0,
4132,condition 2,1,non_generic,Xan,purpose,behavioral,social,biological,aerates soil,runs,pair bonds,has pointy ears,Zerp,biological,behavioral,social,purpose,has hair,swims,cooperates with group members,purifies water,2,1,3,1,
